releaseMonth,lifetime_gross,imdb_averageRating
12,27200000,8.1
1,51081062,7.7
9,879794,8.1
12,111721910,7.9
6,69305181,6.9
4,61749765,7.9
10,29133000,8
6,35377836,6.7
12,156000000,8.3
8,158119460,7.1
8,15014674,5.4
3,11988469,6.6
12,19853892,6.9
6,108185706,6.8
6,31206251,7.1
9,19032261,6.6
7,10853418,6.6
12,47118057,5.8
12,2536242,7.8
2,2120439,7.2
12,17124395,6.5
6,176591618,7.3
3,129000,6.9
2,98467863,7.7
7,24468550,6.9
6,61503218,7.7
6,37803872,6.4
11,5186646,6.4
8,7177431,6.5
3,37191304,7.1
11,11949484,5.1
8,40456565,7.6
4,916172,5.7
7,8033397,5.6
6,115103979,6.1
11,14302779,6.6
1,3751699,4.5
9,19734940,6.3
6,50888729,7.1
3,12706478,6.1
11,28202109,5.7
7,38413606,7.5
4,18875011,5.8
6,241721524,5.2
12,12195695,5.7
1,4611062,5.5
9,14697005,6.4
5,46908987,6.8
11,363561,4.3
7,53208180,6.5
6,103738726,6.2
4,55011732,5.4
8,2938208,7.3
7,86303188,6.9
8,14560247,7.2
7,43001500,6.7
8,8251071,4.4
9,12534961,5.5
9,10555619,7.5
10,44029386,5
5,63270710,6.9
9,44789789,6.4
7,27515786,6.1
8,253311,7.3
9,12324660,6
3,16192320,6.6
1,9914409,7.4
6,422783777,8.5
10,24822619,7.5
2,20982557,6.6
7,1359736,6.3
6,121248145,7.3
12,23920048,5.5
8,63658910,6.9
12,11348324,7.1
11,42512375,8.2
5,100328194,6.2
2,39363635,7.5
9,16140822,6.8
3,2473668,5.7
12,23808,5.2
10,2122561,7
11,8175346,6.3
2,18636537,6.5
1,5711695,6.3
12,3734870,5.3
9,12008376,7.3
2,32417995,6.2
3,4422380,2.7
9,295493,6.8
10,20351264,5.4
3,32772492,5.9
6,12408986,7.4
12,37771017,6.4
8,33459416,7
10,11092559,7.1
7,21075014,6.1
4,56116183,7.7
8,5107669,4.1
12,671437,7.2
4,34767836,5.6
2,2789985,8
8,15064946,6
8,23144499,5.3
10,60944660,7.5
11,206128,6.8
9,16228448,5.1
2,29481428,6.1
9,45950122,7.2
3,500000,7.7
8,10925060,5.2
3,181410615,6.9
4,2007100,6.8
12,101363301,6.3
10,60652036,7.1
2,387069,5.6
3,8363899,3.6
4,12218638,3.2
2,7571115,5.1
6,67638368,6.6
9,141186864,7
7,217049603,8.6
2,12874899,6
4,2856712,6.8
5,380270577,7.6
1,2057193,5.5
4,26875268,6.5
12,34607430,7.4
4,32720065,4.6
7,32589624,5.7
11,38176783,7.2
2,89143175,5.6
2,39240659,7
4,1263279,6
2,541636,5.6
6,102705852,6.4
2,4398989,5.2
1,133058,6.4
12,15540353,5.8
1,2903404,6.8
12,233632142,7.8
5,118907036,6.4
5,73280117,7.2
7,421432,7.9
8,13596911,6.3
8,60786269,5.7
5,3050532,5.9
9,5020111,5.3
3,49894,6.8
9,1053070,6.8
5,198542554,6.2
7,71107711,6.8
2,40077257,5.5
3,309648,7.7
1,19733089,6.8
9,16136476,6.2
6,1084935,5.7
1,6199600,7.4
11,23510841,6.5
8,145103595,6.4
11,13906394,6.2
6,1283356,7.1
8,37904175,6.2
5,3209481,6.4
7,35168966,6.7
6,94060,6.6
9,446955,6.4
8,257412,6.6
1,40311852,7.6
2,9250301,6.6
3,10200032,5.4
10,19161999,6.6
5,8000,5.9
2,9285469,7.9
9,330033,7.5
8,624757,7.8
10,25296447,6.8
7,213307889,6.2
8,549666,6.7
8,6087542,2.6
10,2542020,7.1
8,11689053,7.9
5,42734455,5.5
3,921847,7.6
6,127154901,5.9
9,47726342,6.6
4,14379751,4.8
12,169659,8
7,144801023,7.1
10,75331600,7.7
10,12785432,6.5
6,119194771,7.5
7,1315701,6.3
12,24020403,7.2
3,48022900,6.5
8,22532572,5.5
12,50824620,6.9
3,6303762,7.1
2,27670986,6.1
10,3626883,6.7
6,63313159,4.8
6,2339957,7.3
2,180503,6.1
4,44338224,5.1
2,3083538,7.5
9,346830,7.4
3,70644,6.6
1,83043761,7.7
1,376612,6.9
12,48116322,4.4
5,17326650,5.4
4,74103820,8
5,1415082,6.5
11,175493,7.4
5,60674817,5.7
2,54098051,5.8
9,3178403,7.8
7,77437223,7.5
5,379418,6.9
6,415004880,8.3
9,6377461,6.4
2,11468568,6.6
3,195330621,6.8
8,227471070,8
3,33080084,7.7
9,126714,6.1
12,75030163,5.1
8,59891098,7.8
10,13869515,5.8
3,54149098,6.2
11,4630045,5.9
5,28638916,6.9
12,2706659,6.8
7,22530295,5.2
1,29121498,6.5
4,265198,6.5
4,31483450,7.6
7,180202163,7.3
11,7202,6.8
4,2165188,7
3,3005605,7
6,676775,7.5
1,10597734,4.8
10,6363628,7.1
11,63165,6.2
2,32241649,7.1
6,3531756,6.7
7,17657973,6.5
4,1579146,7
4,54712227,7.5
6,518522,6.8
11,73864507,7.5
10,31487293,6.6
12,116900694,8.2
8,6409528,6.2
8,150201498,5.7
7,196573705,6.9
2,15789389,7.3
8,15122676,5.7
2,44277350,5.8
1,9706328,7.3
3,104979,7
8,9176933,7
3,449865,7.5
5,312433331,6.9
12,209397903,7.4
12,127352707,6.3
3,168226,6.3
8,24046682,5.5
5,165249063,7.2
6,7078738,6.7
2,9489829,5.7
9,17804299,6.3
10,2434652,7.1
7,448139099,8.4
12,292437,7
8,119219978,6.6
6,268492764,7.2
4,89107235,7
7,117538559,6.9
8,56117548,4.3
10,2711643,6.4
9,20777061,5
2,55835,6.1
9,16377274,7.1
9,5284309,6.8
8,129210,7.8
7,1239692,6.5
1,51580236,6.7
3,759,6.1
8,36665854,6.4
8,655802,6.5
1,30932113,5.7
9,6854611,7
4,14100000,7.4
8,18494006,6.6
11,424668047,7.5
5,93436322,6.4
7,641100,7
11,86208010,5.6
6,356461711,8.1
7,78747585,5.6
8,2401999,7.1
11,54445357,6.3
11,15322921,7.8
11,180590,7.5
7,343341,6.1
12,404564861,6.9
7,336045770,6.4
3,98925640,6.5
3,10219501,5.4
7,15160801,5.9
4,3712282,6.6
2,128261724,7.7
10,37473,6.8
9,2500431,6.7
10,102003019,6.5
7,38583626,6.5
4,55804,6.5
8,67790117,6.4
2,30207,6.7
11,2470979,6.5
2,176040665,7.8
4,8025,5.8
5,57890460,7.5
12,7000000,7.2
11,928298,7.5
6,93602326,7.3
10,65955630,7.9
8,91411151,7.4
6,102272727,7.8
10,18177,7.9
6,123276,7.3
12,22774493,6.7
5,7500000,6.7
7,36853000,6.4
12,50000000,8
5,126737428,7
10,3446749,7.8
12,134451603,7.4
10,37799643,7.4
3,51718367,7.4
6,43000000,7.6
2,22490039,7.5
10,30031783,7.3
8,66132626,5.2
2,1729274,6.8
5,5588800,4.9
8,7983086,5.3
4,8400000,6.7
1,3851855,7.6
2,17130087,6.8
5,179870271,7.5
7,25534703,6.8
8,8103330,6.1
10,6551987,6.4
1,11489982,6.3
11,2491460,5.8
10,38371200,8.1
7,32192570,7.2
2,17768900,5.6
8,4940939,8.1
1,2407024,5.6
9,7153487,7.7
10,41382841,6.4
11,2826523,7
4,54731865,6.2
12,486434,6.5
7,14681192,4.6
6,40150487,6.4
3,43184798,6.6
9,16262415,6.9
11,13008928,7.2
8,45661556,6.8
10,4729352,7.3
7,10405394,7.2
2,4134992,5.5
8,10360553,6.8
11,15565363,5.9
10,33691313,5.9
2,7308786,6.7
7,43218387,7.3
4,11657385,6
2,130742922,8.6
11,217350219,8
11,1332110,8.5
3,117727224,7
7,70052444,5.6
7,14110589,4.8
12,46666502,5.9
12,5603158,7
8,1368000,7.1
1,7286388,7.3
2,121697323,7
9,2850263,6.2
1,13273595,4.5
2,25096862,8.1
10,12526677,6.6
10,46405336,6.5
8,11330911,7.3
10,3125424,5.9
1,1700992,7.3
2,1769305,7.7
10,89388,7.3
3,5632086,6.7
2,19623396,6.6
8,7941977,5
3,600200,8
1,3103716,7.2
4,58132,7.4
2,763847,7.9
10,6562513,5.9
2,6159269,7.4
11,75671125,6.6
10,71567262,7
12,6017509,5.9
10,307308,6.4
9,4535,5.2
3,13940383,5.2
11,868979,6.3
3,1032180,7
6,941414,6.7
2,32392047,6.7
1,13681765,7.1
11,340139,6.5
10,1548120,7.6
6,1113103,7.7
4,9255027,5.3
4,838368,6.3
9,17380126,6.2
1,5770254,7.7
6,3486957,6.4
8,5781045,5.4
7,51618,5.2
4,3602884,5.4
2,20050376,5.4
5,50159144,7
6,101117573,6.9
1,11203026,6.1
6,144156605,5.4
4,42071069,6.7
11,10459961,5.1
12,39673162,7.5
8,26682,6.3
2,3600616,4.8
4,1007822,6.3
11,3263585,7.5
7,9161691,7
9,142193,7.9
10,1851761,6.7
9,15738769,5.8
7,55691208,7.5
2,59989,5.7
2,81526121,7.1
6,171091819,7.3
3,57167405,6.5
2,27807627,6.4
8,29762011,6.1
6,1960216,6.6
7,307037,6.3
4,77122415,6.6
6,163479795,6.4
8,6262878,6.2
5,403706375,7.4
6,131168070,5.7
10,3957934,7.3
10,11683047,5.8
7,152257509,5.6
2,39785027,6.6
8,73209340,5.8
8,3204663,6.9
2,5411999,4.8
1,100841,6.6
10,4184036,7.9
4,5108820,5.9
3,24403552,6.1
12,58223861,6.9
1,20069008,5
5,104257,7.1
2,98452,6.5
12,7660806,4.6
4,779137,6.7
8,13023075,5.6
4,6290673,6.2
5,202019785,6.4
6,30915,6.7
2,165092268,6.8
10,13616610,5.2
2,3448233,7.4
4,1157764,7.5
10,26437094,4
3,257315,7
2,19402030,5.8
2,35930604,7.4
5,447267,5.8
6,57743062,4.8
8,7517191,6.7
12,164615351,8.1
1,108638745,7.7
8,226164286,6.7
3,852206,6.8
8,2891288,6.2
12,1642483,6.8
5,39089928,5.9
9,7073251,6.1
1,41308615,7.2
4,11305,7.1
12,661903,6.9
8,32543449,6.7
10,114909,6.7
10,598645,3.6
5,4480744,6.3
8,53710019,7.9
11,60060328,7.1
6,373585825,7.5
10,1328679,6.5
5,47398413,7.2
10,90135191,7.9
4,22918387,6.3
12,288552,7.1
6,445522,7.4
12,33832741,5.8
12,5739376,7.6
2,23106,6.5
11,7718961,7.9
10,74541707,6.5
9,67133509,5.8
8,280351,6
11,707481,8.4
3,673828,6.6
6,72541,7.1
9,26307600,6.5
4,6584159,6.8
11,872252,7.6
6,70831760,5.8
9,10047674,5.8
8,6529624,7.4
6,11536423,7.2
6,2589616,7.7
5,32064800,5.5
9,31504633,7.4
8,23919,7.2
9,17380866,6.2
6,234280354,6.5
10,132384315,8.5
10,22991379,6.2
12,50877145,6.1
7,660561,6.8
10,223202,6.3
2,258578,8
5,16298046,5
3,5971336,4.4
2,1675241,6.4
5,13514,6.5
4,5520368,6.7
7,10525717,6.6
3,9396870,6.9
5,19074800,7
2,30498085,6.3
12,70270943,7.1
12,256393010,7.2
4,80209692,6.8
2,3347411,7.1
3,19661987,7.4
9,306845,7.4
2,83291,6.5
12,37629831,6.8
6,28549298,7.3
2,32645,6
1,93466502,7.4
2,35922978,5.6
4,12062558,6.8
6,12551031,7.4
1,1433319,8.2
7,262030663,6.9
6,64506874,5
10,7873007,6.4
5,293004164,8.3
7,88915214,6.4
10,3248246,6.3
8,35161554,5.9
10,25135965,6.7
9,411746,6.1
7,18097,5.6
8,754301,6.8
11,15634090,5.4
1,24307086,5.4
6,216391482,6.8
8,41034350,5.7
4,31051126,6.7
6,165509,7.4
9,35606376,6.3
11,103412758,7.2
11,21148651,7.3
2,37915414,4.4
3,122523060,5.7
9,5354039,7.1
2,47387723,5.3
8,440627,7.2
6,55007,5.7
9,102427862,6.8
8,86907746,6.1
9,11494838,7
6,346669,7
3,223880,7.3
11,123087120,6.7
10,33700160,5.3
6,5845732,5.6
9,24477704,6.5
4,3600006,7.4
7,32846,6.2
9,346730,6.3
9,60058,5.7
3,10664749,5.8
3,60755732,4.6
8,22272,5.8
2,69179066,6.9
7,368384330,6.5
11,8265,6.2
4,2002036,6.1
10,46889293,7.7
4,172343,5.9
10,72313754,7.6
9,21587519,7.3
4,15709,7
11,2800870,8
12,1479387,7.3
12,3500605,7.5
1,26734,6.8
6,4077333,6.5
4,148225,7.2
4,218080025,7.9
1,200852579,8.2
4,18272894,7.3
10,144738,8.1
1,4108411,8.5
9,44806,6.8
4,2247465,8
3,61123569,6.4
11,1830650,7.9
7,8708,5
12,144156605,6.1
8,708215,7.3
3,14967182,7.3
12,84563118,7.1
12,51079064,6.9
3,25942000,6.3
11,25933445,6.8
9,14363400,7.2
9,44364244,6.9
7,16424918,7.7
2,9000000,5.1
6,70308099,6.2
12,70687344,6.1
6,37121708,7.1
3,67182787,7.5
11,2625716,6.9
11,6855137,4.9
12,43995918,6.7
10,19501238,7.4
4,1515578,5.9
12,9056073,4.8
1,5229643,5.8
7,46509,7
12,21017849,6.7
12,108423489,7.4
1,10600497,7.4
1,20307325,5
3,8430492,7.1
8,2181987,8.1
10,40491165,6.5
6,41410568,7.3
8,23834048,6.6
8,15945534,5.7
6,91258000,6.6
9,1435668,7.7
6,70136369,7.8
6,5794184,7.3
3,43579163,5.4
11,109713132,7.3
1,5715174,5.7
4,43984230,7.7
8,17336370,5.3
2,44793222,6.6
7,30063289,5.1
7,15681020,3.7
10,1189315,6
5,3916303,5.4
10,20047604,6.4
8,1231622,7
11,84614512,7.3
8,33878502,6.4
6,24707633,4.4
9,46836214,8.7
1,13446769,6.9
5,77868585,6.7
8,38120905,6.9
10,394631,7.3
1,5451119,4.9
9,41895491,7.5
1,306319,5.5
12,44235,6.6
1,18476,4.9
12,55956187,6.3
2,26126837,7.4
2,2040920,6.8
7,40227006,5.5
4,277845,5.9
10,7839327,5.7
8,102780,6.5
3,29296,6.3
6,30806194,5.3
3,3783003,5.3
12,15238689,7.2
3,8247627,5.9
8,7294403,7.8
6,173837933,7.7
8,5750110,6.5
2,25588734,6.3
7,56631572,6.9
10,72101622,6.9
2,469571,7.2
11,19474589,5.9
8,13294422,6
3,7603766,6.4
1,5221281,5.4
8,70454098,5.8
3,67659560,6.6
6,171082,8.1
8,50008143,6.7
8,21226204,5.6
1,20109115,6.5
1,9759200,6.7
12,153952592,7.3
2,22754725,5.7
4,10082005,6.2
12,46151454,6.5
10,365284,6.5
7,104636382,6.4
6,33109743,4.5
11,45319423,6.5
1,31480418,5.5
1,1713459,7.3
3,3566637,6.9
5,2377348,6.9
2,5303931,4.4
1,138433435,8.3
11,8038061,7.3
9,63856929,6.4
10,4166918,5.6
9,43700855,7
6,48608066,3.9
1,397020,6.7
2,1897948,7
6,106834564,7.1
5,10680275,7.5
6,3020601,6.7
5,5881367,6.4
12,115821495,6.7
8,23159305,8.1
5,11916661,7
11,29089912,7.8
3,52888180,5.5
7,97403112,4.2
11,30919168,6.7
1,354952,7.4
11,9639390,6.2
3,278492,7.4
7,19288130,6.7
11,6203044,8
8,293506292,8.2
1,21078145,7.3
10,130096601,8.3
7,157019771,6.3
5,21471685,2.5
10,40846082,5.6
10,17872723,6.9
11,14377198,6.5
3,1871025,7
8,16534221,6
8,25543895,5.9
12,183417150,7.7
9,352296,7.2
3,13558739,5.3
8,56618055,6.5
11,304909,6.7
3,176387405,7.5
1,41076018,6.2
2,41675994,7.5
10,4059680,6.9
5,67355513,7.2
12,32130627,5.9
11,13031,7
5,441226247,7.3
3,3663356,6.4
3,25268157,6.2
5,17781006,7.2
11,101149285,4.1
3,400948,7.4
5,63536011,5.4
8,3707346,6.4
8,777129,7.8
9,51970690,7
12,111127263,7.8
9,4601043,6.8
11,85336277,6.8
6,30940691,5.3
6,81001787,7.8
10,44585453,7.7
2,65111277,5.7
2,14161590,5.9
11,27011180,6.5
8,73060,6.4
6,5576743,8.2
4,712275,6.5
12,58236838,7.3
2,14470947,5.3
1,553368,6.7
12,7372734,7.3
12,4017609,6.8
12,110332737,6.2
5,82931301,5.5
3,1310470,6.7
8,44540956,7
1,56386759,5.5
1,51100486,5.9
3,36351350,5.6
3,61123569,4.4
1,15539051,5.9
1,12712093,6.7
10,52597,6.9
3,107509799,7.6
3,1023424,7.2
5,336530303,6.3
7,302089278,7.6
8,15074191,5.9
11,31558003,7.4
4,13368437,5.8
8,1531154,7.7
7,8117961,7.4
11,1007943,6.7
12,63224849,6.9
10,40689393,5.3
3,326876,7.4
10,9793406,7.2
9,23380495,5.2
10,8161,6.2
3,21471047,6.2
1,39739367,2.4
6,134806913,6.6
4,1294919,6.5
2,4445756,8
5,55250026,5.8
9,742349,7.7
11,25594957,7.1
9,60355347,7
11,46060,6.7
2,677914,8
2,93953653,6.4
5,2345941,6.7
1,31841299,7.5
10,94514402,3.9
3,67061228,5.5
1,7689607,6.8
7,23186769,5.8
11,192769854,5.3
5,481586,6.4
3,15541549,7.2
3,2222862,7.8
12,18334,8.5
4,6671036,7.4
7,250618,5.8
1,242578,7.4
3,123477607,7.2
9,75605492,7.6
3,79249455,7.4
10,1738692,7.5
7,28468,5.3
5,95347692,4.5
8,857005,8.4
12,38362475,6.2
10,90777,7.7
1,757195,6.1
6,162001186,6
3,62495645,7
6,68224452,6
6,382946,6.9
1,134938200,6.1
12,237301,6.4
10,1321194,6.9
2,66380662,6.8
12,16311571,6.3
10,8305970,6.3
10,17742948,7.9
4,1008455,5.8
6,47047013,6.8
9,42345531,5.3
10,92054159,8
9,61433527,7.1
11,14431633,7.3
3,2328743,6.9
11,337135885,6.6
6,150275,7.3
11,5775076,5.9
5,4876,6.1
1,13235319,7.4
4,71906,6.3
2,30697999,6.2
1,350126372,7.3
10,16973715,5.4
6,44672764,6.3
3,51183113,6.4
12,1075178,5.9
2,645418,6.6
4,24296,5.8
9,7192291,5.3
9,169700110,6.6
5,4571,5.6
4,144501,8.1
2,59700064,5.7
9,42297,7
8,28370522,5.5
5,408084349,7.8
10,1343349,8.4
1,51738905,8
6,115840,6.9
6,55124043,6.3
8,12008642,7
2,25138705,7
2,23665,5.9
8,1502347,7.1
1,67745330,5.7
11,11962778,6.5
2,184925486,7.6
11,20408163,6.7
7,2080321,7.8
10,4335968,7.5
9,32000000,8.5
1,12368234,7.4
5,15000000,8.2
3,51264000,6.5
6,638641,7.9
5,18999718,6
8,23649127,7.5
5,18600000,7.3
8,112892319,7.4
6,31800000,7.8
8,2483472,7.3
7,86432000,6.2
3,8750000,6.8
7,58853106,5.8
7,12000000,7.4
4,15965924,5.8
3,16000000,5
7,63456988,7.2
12,150157400,5.5
6,248159971,8.4
11,6455330,7.3
9,10219460,6.4
6,34725000,6.6
5,38682707,5.8
12,38348988,5.5
3,81198894,6.7
12,6770587,5.8
8,25308147,5.9
6,76113124,6.7
2,20603715,6.7
7,36230219,6.2
4,2347000,6.9
12,11957943,6.8
1,1953732,5.4
3,5900000,7
6,13723253,7.3
6,49851591,6
10,140980,5.2
3,8200000,6.9
12,1301121,6
8,2510433,5.4
3,16337355,5.1
10,2585639,7.2
7,51185897,6.7
10,213901,7.3
11,18924919,5.4
2,34670720,7.6
2,17637950,6.9
10,17768757,5.8
12,12090735,6.4
3,289323,6.2
11,22103037,6.3
6,95860116,8.1
1,106593296,7.3
2,20021322,5.1
10,11604598,6.2
2,18699037,5.8
12,63408614,6.4
11,28501605,5.9
11,184208848,8
4,4873620,7.3
12,47789074,4.6
2,15645616,6.2
10,19438638,5.3
5,17218080,5.7
7,4102526,5.9
4,2641357,6.9
12,2015810,7.7
6,165493908,6.9
6,336396,6
8,29000301,5.3
7,58662452,4.9
1,20146880,7
9,2832029,8.3
4,17180393,5.1
12,5795524,7.8
2,40903593,7.6
3,19885552,6.5
8,183875760,7.8
5,2019581,6.5
8,24760338,6.7
7,22549338,7.3
2,27979399,6.2
8,7266383,7.4
10,6110979,7.7
7,11585483,6.5
11,1319521,7.3
4,11391093,5.2
10,6841570,4.2
3,1573411,6.8
12,11300653,5.2
11,108385533,6.4
11,60079496,6.8
8,9685976,5.7
6,184069126,5.4
2,23440188,6.5
7,35656131,6
8,3487767,6.8
2,36853222,6.4
9,16115878,6.4
2,4005941,6.6
4,382928,7
12,529766,6.7
11,919671,6.5
1,9871065,5.3
9,15134,5.6
2,38824099,7
8,58620973,5.8
11,41083864,6.6
4,21686547,5.6
11,36461139,6.9
11,90418342,6.5
8,21440752,5.9
6,375805,2.9
5,34673095,6.1
2,19868354,7.2
8,14515490,5.4
11,92977226,5.3
10,12532777,7.7
4,1940299,5.6
2,5710,7.8
8,4714658,6.3
1,572433,6.5
7,29022252,6.1
2,2372903,6.3
7,661465,5.6
6,125618201,8.2
2,36400360,5.9
3,13692848,7.1
10,31602566,6.7
10,12069719,4.9
9,23245840,6.9
4,19221939,4.5
10,55382927,7
3,106885658,6.7
7,1126506,7.6
9,7302522,6.4
4,299569,7.4
10,37030102,8.8
1,52894169,6.5
10,2005840,6.2
4,15070285,7.6
5,2933161,6
1,187152,6.2
9,264292,6.7
11,125305545,5.6
6,70334258,6
10,7220243,7.9
4,59623958,6.8
1,28912646,7.3
1,22455976,8
12,71583916,7.4
1,46737,7.3
12,69243859,5.9
3,35046120,5.6
5,17266359,6.6
10,1015122,7.2
12,9183362,7.5
10,872091,7.4
5,25544867,8.4
8,61334059,6.4
7,30354442,3.9
1,55835,5.8
4,7267307,6.4
8,108248956,6.4
11,21995263,7.7
8,4467615,6.7
8,116934650,6
11,62362560,7.1
7,3288164,7
10,119664,5.3
1,81172560,5.2
9,1012153,7.9
7,3065921,6.8
2,7007149,7.7
12,279261160,6.3
10,26485,7.5
4,135645823,6.2
8,732393,7.3
6,1587173,7.1
10,49443628,7.1
12,93354851,6.1
8,10130108,6.7
4,13562325,4.8
4,57231747,6.3
9,41196,5.4
1,12195626,6.1
8,20698668,5.3
11,6177192,7.5
9,2110589,6.9
3,365727,7.3
6,1270904,7.3
12,42726869,6.4
8,47000000,6
8,30610863,5.8
5,2380788,8
10,7535331,6.7
9,25514517,7.8
1,45806659,6.5
10,110359362,5.9
1,47144110,6.6
1,20040895,6.3
9,7221458,6.1
12,52898073,7.3
1,47403685,7.5
6,100462298,5.4
11,62658220,7
4,24793509,7.5
7,28142535,5.8
3,18597342,5.4
1,12899867,7.6
11,82280579,6.3
5,654132,5
11,64038616,7.1
4,95020213,7.5
11,124987023,7.9
6,49438370,5.3
6,80197993,5.9
1,42754105,7
7,75628110,5.6
8,137221,6.4
6,60922980,5.5
4,53760,5.7
12,202647,7
3,7057600,6.2
5,123789,6.8
1,31847881,6.9
12,250863268,6.5
4,148292,7.8
5,663,5.6
3,22537881,5.9
2,179780,7.2
6,47365290,6.7
3,32010860,6.4
9,1755212,7.7
6,9176787,6.6
11,174945,6.9
10,8744,8
5,53032453,6.5
12,303003568,7.8
12,217326974,5.2
6,100018837,5.6
3,36392502,6
9,26593646,6.6
1,52076908,7.5
3,1373975,7.2
1,28644813,7.1
6,1498210,8
6,49200230,7.3
2,17223265,5.5
10,40962534,7.1
9,33456317,6.4
4,10095170,7.8
4,1978592,7
3,58009200,7.3
3,515905,6.3
3,138447667,7.2
11,83504017,6
7,4417674,7.8
1,46000903,6.7
4,60457138,6.4
9,869838,7.4
10,112036,7.5
5,46412041,7.2
1,518017,7.4
12,174340174,7.5
10,1710,6.2
1,12050299,6.3
2,28848693,4.7
6,17186,6
1,44671682,7.9
4,512245,6.5
4,480811,7.3
2,71349120,6.6
10,203373,6.1
8,100616,6.2
10,104028807,5.8
2,11682205,5.9
12,87044645,6
8,68559554,5.7
7,38543473,5.1
9,7241350,8.1
10,8008161,5.6
5,150157400,6.3
5,2062027,7.4
4,34694,6.3
4,796368,6.1
7,41189488,6.4
5,45852178,4.7
9,101157447,7
11,209726015,8.4
3,33078266,6.5
3,90411453,6
6,54730625,6.5
7,59165787,5.9
9,7057600,7.8
10,58697076,6.1
9,51342000,7.1
5,36261763,7.4
8,12695691,5.7
7,79213375,6
5,55455765,5.7
2,114581250,4.6
6,4267218,6.3
4,226008385,6.6
11,51570,7.4
5,16071990,6.4
5,73121,6.1
4,5017246,8.4
7,42873127,7.5
4,188024361,7.5
8,49275340,7.5
3,1236166,8.3
12,155385488,7
4,1826108,8.3
5,136314294,7.5
6,460226,8.1
10,752045,8.1
9,1677,6.9
3,39123589,6.1
6,60922980,7.5
6,36145695,6.7
5,20424259,7.2
10,10432366,7.3
10,9709597,7.2
8,24058838,7.4
2,6400000,5.9
5,23667907,7.6
2,7742572,5.6
3,14000000,7.7
3,36299720,7.6
10,17233166,6
11,6333135,4.2
12,67642693,6.6
12,30503151,6.3
9,51973029,8.4
6,7840873,6.2
9,441137,4.5
11,127873716,6.9
10,9085049,7
2,25205460,6.4
3,36611610,6.3
12,42724017,6.8
7,7433663,5.4
5,179800601,6.9
6,22257624,6.2
9,156645693,6.9
10,1012153,6.1
10,25216243,6.3
11,1562749,7.2
2,882290,6.3
10,5194491,6.1
4,43047372,6.1
6,34994648,6.1
11,420813,8.6
8,7467504,6.6
1,3468572,7.2
8,19652638,6.9
3,16278590,6.5
4,7723506,6.2
3,2420917,6.2
10,33810189,5.6
8,66758538,7.1
12,10555348,6.1
9,1054638,7.4
12,15691192,5.6
2,1382259,6.1
10,11567449,6.3
2,5585154,4.9
2,485772,5.4
11,61276872,7.8
10,15379253,6.4
4,11060485,4.5
3,11336986,5.8
3,24277858,6.4
2,28862081,6.7
7,205881154,8.6
5,63707829,7
1,34793160,6.7
1,17129026,5.4
3,1862805,7.2
2,662341,6.9
7,20006730,5.6
10,43440294,7.2
11,175340,6.8
9,7306242,6.3
1,63095253,8
2,11502976,7.4
12,53443066,4.9
8,16589540,7
6,50016394,6.5
6,126808165,6.8
