releaseYear,lifetime_gross,imdb_averageRating,studio
1997,20050376,5.4,Sony
1997,50159144,7.0,Par.
1997,101117573,6.9,BV
1998,11203026,6.1,BV
1998,144156605,5.4,Fox
1997,42071069,6.7,Fox
1998,10459961,5.1,WB
1997,3600616,4.8,Sony
1997,1851761,6.7,BV
1999,55691208,7.5,WB
1999,81526121,7.1,Par.
1999,171091819,7.3,BV
1998,57167405,6.5,WB
1999,27807627,6.4,BV
1999,29762011,6.1,Uni.
2000,77122415,6.6,Uni.
1999,163479795,6.4,Sony
1999,6262878,6.2,Sony
2002,403706375,7.4,Sony
2001,131168070,5.7,Par.
1999,11683047,5.8,Sony
1999,152257509,5.6,Par.
2000,39785027,6.6,Fox
2000,73209340,5.8,Sony
2001,5411999,4.8,Fox
2000,5108820,5.9,WB
1999,58223861,6.9,BV
2001,7660806,4.6,Fox
2000,13023075,5.6,BV
2001,202019785,6.4,Uni.
2000,13616610,5.2,Par.
2000,1157764,7.5,Sony
2001,19402030,5.8,Sony
2001,57743062,4.8,SonR
2001,7517191,6.7,DW
2002,164615351,8.1,DW
2002,108638745,7.7,SonR
2002,39089928,5.9,Uni.
2002,7073251,6.1,Sony
2005,4480744,6.3,Dim.
2003,60060328,7.1,Dim.
2004,373585825,7.5,Sony
2005,47398413,7.2,Fox
2003,90135191,7.9,WB
2003,33832741,5.8,Fox
2003,7718961,7.9,Par.
2004,74541707,6.5,BV
2004,67133509,5.8,SonR
2014,26307600,6.5,Uni.
2004,70831760,5.8,Sony
2005,32064800,5.5,WB
2005,234280354,6.5,Par.
2006,132384315,8.5,WB
2005,22991379,6.2,Uni.
2008,50877145,6.1,Uni.
2006,5971336,4.4,Sony
2016,30498085,6.3,Uni.
2007,256393010,7.2,WB
2007,80209692,6.8,P/DW
2007,19661987,7.4,Sony
2008,93466502,7.4,WB
2009,35922978,5.6,Sony
2012,262030663,6.9,Sony
2008,64506874,5.0,Fox
2008,7873007,6.4,Fox
2009,293004164,8.3,BV
2009,88915214,6.4,Sony
2008,35161554,5.9,WB
2013,25135965,6.7,LG/S
2012,15634090,5.4,Uni.
2010,24307086,5.4,LGF
2012,216391482,6.8,P/DW
2010,41034350,5.7,LGF
2012,31051126,6.7,Sony
2012,103412758,7.2,P/DW
2010,21148651,7.3,LGF
2011,37915414,4.4,Fox
2013,122523060,5.7,Par.
2015,47387723,5.3,WB
2014,102427862,6.8,Fox
2012,86907746,6.1,WB
2015,123087120,6.7,BV
2017,33700160,5.3,WB
2018,69179066,6.9,WB (NL)
2016,368384330,6.5,Uni.
2015,46889293,7.7,LGF
2015,72313754,7.6,BV
releaseYear,lifetime_gross,imdb_averageRating,studio
1933,218080025,7.9,Uni.
1939,18272894,7.3,WB
1943,4108411,8.5,WB
1958,2247465,8.0,Uni.
1959,61123569,6.4,BV
1960,1830650,7.9,Uni.
1967,144156605,6.1,Fox
1971,14967182,7.3,WB
1972,84563118,7.1,Fox
1976,51079064,6.9,Fox
1977,25942000,6.3,Dis.
1977,25933445,6.8,Fox
1978,44364244,6.9,Par.
1979,16424918,7.7,Fox
1980,70687344,6.1,WB
1980,37121708,7.1,Fox
1980,67182787,7.5,Uni.
1981,19501238,7.4,Sony
1982,1515578,5.9,Fox
1982,5229643,5.8,Par.
1982,46509,7.0,Par.
1983,108423489,7.4,Par.
1984,2181987,8.1,Fox
1985,41410568,7.3,WB
1985,23834048,6.6,Uni.
1986,70136369,7.8,Par.
1986,43579163,5.4,WB
1986,109713132,7.3,Par.
1987,5715174,5.7,Fox
1987,30063289,5.1,Fox
1987,15681020,3.7,WB
1989,20047604,6.4,BV
1990,33878502,6.4,Uni.
1990,24707633,4.4,Uni.
1990,46836214,8.7,WB
1991,77868585,6.7,Uni.
1991,38120905,6.9,BV
1991,394631,7.3,WB
1992,55956187,6.3,WB
1994,29296,6.3,Fox
1994,30806194,5.3,BV
1994,3783003,5.3,Par.
1995,8247627,5.9,BV
1995,173837933,7.7,Uni.
1995,5750110,6.5,Sony
1995,25588734,6.3,Uni.
1995,56631572,6.9,Par.
1995,19474589,5.9,WB
1995,7603766,6.4,Par.
1995,5221281,5.4,BV
1995,67659560,6.6,WB
1995,50008143,6.7,Fox
1996,21226204,5.6,Fox
1996,153952592,7.3,Sony
1996,22754725,5.7,Sony
1996,10082005,6.2,Sony
1996,46151454,6.5,Fox
1996,104636382,6.4,BV
1996,33109743,4.5,Sony
1997,31480418,5.5,Sony
1997,3566637,6.9,WB
1997,63856929,6.4,Par.
1997,4166918,5.6,BV
1997,43700855,7.0,Fox
1997,48608066,3.9,Fox
1998,397020,6.7,Sony
2000,106834564,7.1,DW
1998,10680275,7.5,Uni.
1998,115821495,6.7,WB
1999,23159305,8.1,WB
1999,11916661,7.0,Sony
1999,29089912,7.8,BV
1999,52888180,5.5,DW
1999,97403112,4.2,BV
2000,30919168,6.7,DW
1999,19288130,6.7,BV
1999,6203044,8.0,BV
1999,293506292,8.2,BV
1999,130096601,8.3,DW
2000,21471685,2.5,WB
1999,40846082,5.6,WB
2000,17872723,6.9,DW
2002,1871025,7.0,Uni.
2001,25543895,5.9,Uni.
2001,183417150,7.7,WB
2001,13558739,5.3,SonR
2001,56618055,6.5,Par.
2002,176387405,7.5,Fox
2002,41076018,6.2,Par.
2003,41675994,7.5,Par.
2002,67355513,7.2,WB
2002,32130627,5.9,WB
2004,441226247,7.3,DW
2003,17781006,7.2,WB
2003,101149285,4.1,Uni.
2003,63536011,5.4,Sony
2003,111127263,7.8,WB
2003,85336277,6.8,BV
2003,30940691,5.3,SonR
2003,27011180,6.5,SonR
2005,5576743,8.2,BV
2013,58236838,7.3,Fox
2004,14470947,5.3,Fox
2005,110332737,6.2,Sony
2005,56386759,5.5,Uni.
2005,51100486,5.9,Fox
2006,61123569,4.4,BV
2007,15539051,5.9,Sony
2009,107509799,7.6,WB
2007,336530303,6.3,Sony
2009,302089278,7.6,WB
2007,15074191,5.9,WB
2006,63224849,6.9,Sony
2008,40689393,5.3,Fox
2008,9793406,7.2,Uni.
2007,39739367,2.4,Fox
2008,134806913,6.6,Uni.
2009,55250026,5.8,WB (NL)
2009,93953653,6.4,WB (NL)
2008,94514402,3.9,BV
2010,67061228,5.5,Sony
2011,23186769,5.8,Fox
2008,192769854,5.3,Sum.
2010,15541549,7.2,Sum.
2011,123477607,7.2,Par.
2011,75605492,7.6,Sony
2010,95347692,4.5,WB (NL)
2013,38362475,6.2,Uni.
2010,162001186,6.0,Sony
2011,62495645,7.0,Uni.
2011,68224452,6.0,Fox
2014,134938200,6.1,Uni.
2013,66380662,6.8,LG/S
2011,16311571,6.3,Par.
2011,8305970,6.3,Uni.
2012,17742948,7.9,LG/S
2014,47047013,6.8,WB
2017,92054159,8.0,WB
2016,61433527,7.1,LG/S
2014,337135885,6.6,LGF
2015,5775076,5.9,Fox
2015,350126372,7.3,WB
2013,16973715,5.4,Fox
2013,44672764,6.3,Fox
2014,51183113,6.4,BV
2015,169700110,6.6,Sony
2014,59700064,5.7,Fox
2016,408084349,7.8,BV
2016,55124043,6.3,Sony
2018,67745330,5.7,Uni.
2017,11962778,6.5,Sony
1938,184925486,7.6,Dis.
1951,2080321,7.8,Sony
1954,4335968,7.5,WB
1960,32000000,8.5,Par.
1969,51264000,6.5,Dis.
1969,638641,7.9,WB
1970,18999718,6.0,Fox
1974,23649127,7.5,WB
1975,18600000,7.3,WB
1975,112892319,7.4,Fox
1976,31800000,7.8,WB
1979,86432000,6.2,AIP
1981,16000000,5.0,BV
1981,63456988,7.2,BV
1981,150157400,5.5,Uni.
1981,248159971,8.4,Par.
1983,34725000,6.6,Uni.
1984,38348988,5.5,WB
1984,81198894,6.7,WB
1985,76113124,6.7,Fox
1985,36230219,6.2,WB
1986,11957943,6.8,Uni.
1986,1953732,5.4,WB
1986,5900000,7.0,Fox
1986,49851591,6.0,Uni.
1986,8200000,6.9,Fox
1987,16337355,5.1,WB
1988,18924919,5.4,Fox
1989,34670720,7.6,WB
1988,17637950,6.9,WB
1989,289323,6.2,Par.
1989,22103037,6.3,Uni.
1989,95860116,8.1,BV
1990,106593296,7.3,WB
1989,20021322,5.1,Fox
1989,11604598,6.2,BV
1989,18699037,5.8,WB
1989,63408614,6.4,WB
1990,28501605,5.9,Uni.
1992,2641357,6.9,Fox
1991,165493908,6.9,WB
1991,336396,6.0,Par.
1992,29000301,5.3,BV
1992,58662452,4.9,BV
1992,20146880,7.0,Par.
1993,5795524,7.8,WB
1993,40903593,7.6,WB
1993,19885552,6.5,Par.
1993,183875760,7.8,WB
1993,24760338,6.7,WB
1993,7266383,7.4,Par.
1995,108385533,6.4,WB
1995,60079496,6.8,Sony
1995,9685976,5.7,Sony
1995,184069126,5.4,WB
1995,23440188,6.5,WB
1995,35656131,6.0,Par.
1995,36853222,6.4,WB
1995,16115878,6.4,Dim.
1996,9871065,5.3,Fox
1996,38824099,7.0,Uni.
1996,58620973,5.8,BV
1996,41083864,6.6,Sony
1996,21686547,5.6,Uni.
1996,90418342,6.5,WB
1996,21440752,5.9,Par.
1998,375805,2.9,Sony
1997,34673095,6.1,WB
1997,14515490,5.4,Sony
1997,92977226,5.3,BV
1997,12532777,7.7,Sony
1999,1940299,5.6,WB
1997,29022252,6.1,Fox
1998,125618201,8.2,Par.
1997,36400360,5.9,WB
2001,31602566,6.7,Fox
1998,12069719,4.9,BV
1998,23245840,6.9,Uni.
1999,106885658,6.7,WB
1999,37030102,8.8,Fox
1999,52894169,6.5,Par.
1999,2005840,6.2,Sony
2000,187152,6.2,WB
2000,125305545,5.6,Sony
2000,70334258,6.0,Par.
2001,7220243,7.9,Uni.
2004,59623958,6.8,SonR
2000,28912646,7.3,Sony
1999,71583916,7.4,DW
2000,69243859,5.9,Sony
2000,35046120,5.6,Uni.
2000,17266359,6.6,DW
2002,30354442,3.9,Dim.
2002,7267307,6.4,BV
2001,108248956,6.4,BV
2003,116934650,6.0,Sony
2001,62362560,7.1,Uni.
2002,81172560,5.2,BV
2002,3065921,6.8,Sony
2004,279261160,6.3,Uni.
2003,135645823,6.2,SonR
2003,49443628,7.1,Fox
2002,93354851,6.1,WB
2004,13562325,4.8,DW
2004,57231747,6.3,SonR
2004,12195626,6.1,WB
2004,20698668,5.3,SonR
2004,42726869,6.4,Sony
2007,47000000,6.0,CIP
2005,25514517,7.8,Uni.
2005,45806659,6.5,Uni.
2004,110359362,5.9,Sony
2006,47144110,6.6,Uni.
2006,7221458,6.1,Sony
2007,52898073,7.3,P/DW
2006,47403685,7.5,Uni.
2007,100462298,5.4,Uni.
2005,62658220,7.0,Uni.
2006,28142535,5.8,WB
2006,18597342,5.4,Fox
2007,82280579,6.3,Par.
2006,64038616,7.1,BV
2013,95020213,7.5,WB
2012,124987023,7.9,Fox
2009,49438370,5.3,Uni.
2006,80197993,5.9,Par.
2008,42754105,7.0,LGF
2006,75628110,5.6,Uni.
2006,60922980,5.5,Fox
2007,7057600,6.2,LGF
2012,31847881,6.9,WB
2006,250863268,6.5,Fox
2013,22537881,5.9,WB (NL)
2016,47365290,6.7,Uni.
2010,32010860,6.4,Par.
2010,1755212,7.7,WB
2010,53032453,6.5,Sum.
2012,303003568,7.8,WB (NL)
2007,217326974,5.2,Fox
2008,100018837,5.6,Sony
2011,36392502,6.0,WB
2010,26593646,6.6,Fox
2015,52076908,7.5,Par.
2009,49200230,7.3,WB (NL)
2015,17223265,5.5,Uni.
2011,40962534,7.1,Sony
2011,58009200,7.3,LGF
2012,138447667,7.2,Sony
2013,46000903,6.7,WB
2012,60457138,6.4,WB
2017,174340174,7.5,Fox
2013,12050299,6.3,LGF
2016,28848693,4.7,Par.
2011,104028807,5.8,Par.
2012,11682205,5.9,LG/S
2015,87044645,6.0,Uni.
2013,68559554,5.7,Fox
2014,38543473,5.1,Sony
2014,150157400,6.3,Uni.
2017,45852178,4.7,Fox
2013,101157447,7.0,WB
2017,209726015,8.4,BV
2015,90411453,6.0,WB
2018,54730625,6.5,WB (NL)
2014,59165787,5.9,BV
2014,7057600,7.8,LGF
2016,58697076,6.1,Par.
2017,51342000,7.1,Uni.
2016,36261763,7.4,WB
2018,12695691,5.7,Fox
2016,79213375,6.0,Uni.
2016,55455765,5.7,Uni.
2017,114581250,4.6,Uni.
2017,226008385,6.6,Uni.
2017,42873127,7.5,LGF
2018,188024361,7.5,Par.
releaseYear,lifetime_gross,imdb_averageRating,studio
1927,1236166,8.3,Par.
1932,155385488,7.0,Uni.
2004,136314294,7.5,Sony
1976,60922980,7.5,Fox
1976,36145695,6.7,Fox
1980,9709597,7.2,Uni.
1981,24058838,7.4,WB
1981,6400000,5.9,Fox
1982,23667907,7.6,WB
1982,14000000,7.7,Uni.
1983,17233166,6.0,Fox
1983,67642693,6.6,WB
1983,30503151,6.3,Par.
1985,7840873,6.2,Par.
1985,441137,4.5,Uni.
1987,25205460,6.4,Fox
1986,36611610,6.3,Par.
1986,42724017,6.8,WB
1986,179800601,6.9,Par.
1987,22257624,6.2,BV
1987,156645693,6.9,Par.
1988,25216243,6.3,Fox
1988,5194491,6.1,WB
1988,43047372,6.1,Sony
1988,7467504,6.6,WB
1989,3468572,7.2,Uni.
1988,19652638,6.9,Par.
1989,7723506,6.2,BV
1989,66758538,7.1,Uni.
1989,10555348,6.1,Par.
1990,15691192,5.6,WB
1990,11567449,6.3,Uni.
1990,15379253,6.4,BV
1991,11336986,5.8,Uni.
1991,24277858,6.4,Fox
1991,63707829,7.0,BV
1991,34793160,6.7,BV
1992,17129026,5.4,WB
1992,20006730,5.6,Fox
1992,7306242,6.3,BV
1993,63095253,8.0,Uni.
1993,11502976,7.4,Uni.
1993,53443066,4.9,Uni.
1993,16589540,7.0,Uni.
1993,36300000,5.1,Par.
1993,1029721,6.4,Par.
1994,19306362,6.4,WB
1994,38087756,5.4,WB
1994,33423521,4.0,Uni.
1994,146282411,7.3,Fox
1995,37600435,6.0,Sony
1995,30077111,5.1,WB
1995,17014653,4.3,Sony
1995,24670346,5.2,BV
1995,67052156,6.0,Fox
1996,2042530,4.8,WB
1996,516349,4.9,BV
1996,21576954,5.8,Uni.
1996,26570048,5.9,Par.
1996,21302121,5.5,Sony
1996,46351345,6.7,Fox
1996,26960191,5.3,BV
1996,108766007,7.5,WB
1997,27873386,6.9,Fox
1998,5684789,7.0,BV
1997,1935539,5.2,Sony
2005,56117548,5.7,Fox
1998,19870567,5.9,Par.
1999,12017369,5.5,DW
1998,25605015,6.5,Sony
1999,17105219,7.6,BV
1998,40981289,6.4,Fox
2001,74078174,6.4,Par.
2000,55973336,6.1,WB
2003,26483452,6.7,DW
2000,260044825,6.3,Uni.
2000,50699241,7.6,Uni.
2001,91057006,6.2,Par.
2001,18150259,5.8,Sony
2002,1203794,7.3,Dim.
2001,93607673,5.7,SonR
2002,50547998,5.4,DW
2002,262233983,7.4,WB
2003,31186896,5.5,Par.
2004,261441092,8.0,BV
2006,155019340,6.7,P/DW
2004,21215059,4.1,WB
2004,84216833,5.2,WB
2004,64378093,7.4,BV
2005,75976178,7.0,WB
2005,76231249,5.4,DW
2006,58360760,6.5,Uni.
2007,206445654,8.1,BV
2006,73661010,6.6,Sony
2009,77233467,6.7,WB
2005,24402491,6.0,BV
2012,73078100,6.6,BV
2006,148213377,6.6,Sony
2006,26024456,7.2,LGF
2006,59843754,5.5,SonR
2017,412563408,7.4,WB
2008,49554002,6.6,Fox
2006,62514415,6.0,Uni.
2007,47642963,6.8,BV
2006,37327390,6.2,Uni.
2008,39394666,7.0,WB
2010,61979680,5.8,Uni.
2013,33618855,5.6,Uni.
2008,20211394,6.7,WB (NL)
2008,15298133,5.3,LGF
2007,11892415,6.2,Uni.
2014,56280355,6.2,Uni.
2008,168368427,6.6,Sony
2008,102491776,5.2,Uni.
2008,76808654,6.1,Fox
2008,80277646,6.1,Fox
2011,21443494,4.9,Sum.
2010,47059963,5.4,LGF
2009,277322503,7.7,WB
2009,16204793,5.5,Fox
2009,12234694,5.6,Fox
2009,107918810,6.3,Par.
2011,100292856,5.6,Sony
2010,19068240,7.1,Sum.
2013,228778661,7.7,Par.
2011,169106725,6.8,Uni.
2010,21393620,4.5,Uni.
2015,27367660,5.9,LG/S
2014,5571497,6.4,LGF
2011,37520095,6.7,Fox
2015,34030343,6.4,LGF
2015,32363404,6.5,WB
2012,155332381,6.1,Uni.
2012,67544505,6.2,Uni.
2015,31569268,6.8,Sony
2014,150947895,6.6,LG/S
2016,35593113,5.9,LGF
2014,101200044,5.8,Par.
2014,84525432,4.9,WB (NL)
2013,83301580,7.5,BV
2016,34916787,5.2,Sony
2014,131538435,6.3,Fox
2015,195042377,7.4,Par.
2013,30664106,6.3,BV
2015,110825712,7.0,Fox
2016,155442489,6.9,Fox
2016,64063008,5.7,Fox
2017,146880162,7.4,Fox
2016,55483770,6.3,BV
2017,168052812,6.7,WB
2018,678815482,8.4,BV
1951,487391,8.1,Par.
1962,79091969,7.7,Uni.
1972,26589355,8.3,WB
1972,9043472,6.1,Fox
1974,79666653,5.9,Uni.
1978,189969103,7.2,Par.
1979,9346177,6.3,WB
1981,12480249,6.4,Par.
1982,15782759,5.9,Fox
1983,760883,6.5,Fox
1983,33759266,5.0,Fox
1985,26657534,6.7,Fox
1987,46357676,8.3,WB
1987,20419446,5.2,BV
1988,3838793,5.5,WB
1990,70001698,7.2,Uni.
1990,66666062,7.6,Par.
1990,8862354,6.5,Fox
1991,79091969,7.3,Uni.
1991,33669178,6.0,Fox
1996,15618626,7.4,Sony
1991,11128309,4.9,BV
1991,14960255,5.2,Uni.
1992,4096030,4.7,Fox
1992,2827107,7.1,WB
1992,21370057,6.1,Uni.
1993,48919043,6.8,Par.
1993,13609396,5.8,WB
1993,41833324,6.9,BV
1993,3283371,6.5,Fox
1994,4630377,6.6,WB
1994,13642861,7.0,Uni.
1994,46816343,6.5,Uni.
1994,8647042,5.9,BV
1995,71516617,7.6,WB
1995,81022101,5.3,Par.
1995,34244097,5.9,Par.
1995,10015449,7.6,WB
1995,50024083,5.5,WB
1996,20340204,6.2,Sony
1996,22955097,5.5,BV
1996,105489203,6.4,Par.
1997,13323144,6.7,Sony
1996,100138851,7.0,BV
1996,2654308,6.9,Par.
1997,332597,6.8,Sony
1997,105263257,5.5,BV
1998,14594226,6.0,WB
1998,10319915,4.8,Sony
1998,3572443,4.7,WB
1998,100494675,5.9,Par.
1999,81298265,7.4,Par.
1999,87704396,6.3,Fox
1999,31770414,5.8,Fox
1999,16649768,6.6,WB
1999,10827810,7.6,Fox
1999,30636478,5.2,Par.
1999,34102780,6.7,Uni.
2001,40222729,6.4,Par.
2001,4781539,5.7,BV
2000,57262492,6.7,WB
2003,105813373,6.5,Par.
2002,4850753,6.5,DW
2002,227966634,6.8,BV
2003,19955598,7.5,Uni.
2003,63860942,6.5,SonR
2003,242829261,6.8,Uni.
2003,106128601,7.0,Par.
2005,42071069,6.2,Fox
2004,17071962,5.6,DW
2006,12512886,5.2,SonR
2005,128200012,6.4,Fox
2004,9055921,5.1,Fox
2005,26850426,6.3,Par.
2004,95170481,5.8,BV
2008,101704370,5.8,WB (NL)
2006,36323505,6.4,Uni.
2004,28544157,7.5,LGF
2006,22545080,5.6,Uni.
2005,67264877,7.3,Par.
2005,19398532,6.3,Uni.
2002,63946815,6.1,BV
2006,85105259,6.1,Sony
2006,17127992,5.8,BV
2006,40660952,7.5,Sony
2006,23086480,5.0,BV
2006,103365956,6.6,P/DW
2006,57377916,8.0,WB
2014,101530738,7.2,Sony
2006,7191830,5.5,Uni.
2007,66661095,7.0,Uni.
2007,47852604,5.9,Sony
2011,45060734,5.9,WB (NL)
2006,19185184,6.2,WB
2008,10915744,6.4,Par.
2007,117154724,6.9,WB
2007,50572589,6.5,WB
2007,130164645,7.8,Uni.
2008,30691439,6.1,Fox
2012,80070736,7.0,Par.
2007,9534258,6.7,Fox
2009,133375846,6.7,Sony
2010,60022256,5.0,Fox
2009,28596818,6.3,P/DW
2013,21488481,7.5,Fox
2008,19806188,4.7,LGF
2010,238736787,6.3,P/DW
2009,58715510,5.5,Fox
2016,126643061,6.2,WB
2010,131772187,4.0,Par.
2010,118311368,6.4,Sony
2008,110101975,6.0,BV
2008,17432844,5.9,P/DW
2009,15515460,6.5,Uni.
2010,52474616,6.2,Fox
2014,125095601,7.5,Uni.
2009,94125426,7.0,Sony
2013,258366855,7.8,WB (NL)
2009,83823381,7.4,Par.
2011,88631237,7.1,BV
2011,80360843,5.2,Sony
2010,100539043,6.5,WB
2012,35353000,5.7,Fox
2011,254464305,6.5,WB
2012,126477084,7.0,Fox
2011,37662162,5.4,WB
2012,218815487,6.9,Uni.
2012,45290318,6.4,Sony
2017,50701325,5.6,Sony
2012,37134215,5.8,Par.
2013,150117807,7.2,Sony
2013,83028128,6.4,Fox
2014,245439076,5.6,Par.
2013,133668525,5.4,Sony
2016,143528619,7.1,Fox
2015,200074609,6.8,Sony
2015,19375982,7.3,LGF
2016,82051601,5.9,Par.
releaseYear,lifetime_gross,imdb_averageRating,studio
1946,12376625,7.4,Par.
1955,2844379,7.5,Sony
1958,40456565,7.1,Fox
1961,66308518,7.2,BV
1967,23562716,7.5,BV
1971,12348905,6.3,Fox
1973,15700000,7.4,Uni.
1976,2783840,6.8,Par.
1977,26414658,6.4,WB
1979,74865517,6.1,WB
1979,22228000,7.3,Fox
1980,22482952,7.1,Fox
1980,46918287,6.4,Par.
1981,14905359,6.3,Uni.
1982,119285432,7.6,Uni.
1983,21156152,6.1,WB
1983,92921203,6.2,Par.
1983,59950623,5.0,WB
1984,31042035,5.9,Uni.
1984,80035402,6.6,Par.
1984,76572238,6.9,Fox
1984,69821334,6.3,BV
1985,40833132,6.5,Uni.
1985,12361866,6.4,Par.
1986,3272593,7.4,WB
1986,8988731,5.5,WB
1987,13110903,5.9,Par.
1987,12396383,6.4,Fox
1988,7282851,6.4,Uni.
1988,2835116,7.6,WB
1989,15942628,5.8,WB
1989,57469467,6.5,Par.
1991,69467617,6.7,Fox
1991,70405498,8.0,WB
1991,59509925,7.0,WB
1991,20246790,5.9,Uni.
1992,7191399,6.4,Par.
1992,58422650,6.6,Uni.
1992,144731527,6.7,WB
1992,2034470,5.3,WB
1992,57138719,6.4,Fox
1993,11146270,6.2,Uni.
1993,106614059,6.0,Par.
1993,5145823,6.5,Fox
1993,3335984,5.4,BV
1993,23032565,6.5,BV
1994,18272894,6.0,WB
1994,1316865,6.1,Uni.
1995,15116634,4.7,Dim.
1995,12201255,5.3,Sony
1995,34693481,5.6,BV
1995,13406717,4.7,BV
1995,15453274,5.3,BV
1995,141579773,6.7,BV
1995,21284514,6.8,Sony
1996,57141459,8.0,Uni.
1996,8008255,5.5,Fox
1996,2420162,4.9,Sony
1996,28946127,6.7,BV
1996,60592389,5.7,Fox
1996,136492681,6.7,BV
1998,26420672,6.8,Fox
1997,4366722,6.3,Fox
1998,192769854,6.2,Sum.
1998,136314294,5.4,Sony
1999,136801374,8.6,WB
2000,215409889,6.1,Par.
1999,36850101,5.1,BV
1998,18912328,6.4,Par.
2002,310676740,6.6,Fox
1999,14902041,7.3,Par.
2000,137748063,6.4,BV
2001,58856790,6.4,Fox
2004,41821986,5.1,WB
2001,21974919,6.6,Fox
2007,35552383,7.9,Uni.
2001,78616689,7.2,WB
2001,19753553,5.1,WB
2002,11260096,7.0,Uni.
2001,29831583,5.4,BV
2001,93385515,5.1,WB
2002,29760152,5.8,SonR
2002,52775765,6.7,Fox
2001,228194,6.1,BV
2002,30323400,6.1,Uni.
2003,15550605,4.7,Dim.
2003,36381186,5.6,Sony
2002,40007742,5.7,Sony
2003,60476872,6.2,BV
2002,40390647,5.7,Uni.
2002,35081594,5.5,BV
2003,3212310,6.3,DW
2006,134029801,6.9,Par.
2003,6130049,4.8,Fox
2004,8725813,5.8,Par.
2004,4434432,6.5,WB
2004,26890041,6.2,WB
2005,16809014,5.1,Fox
2006,167445960,8.0,Sony
2007,39568996,6.6,Sony
2007,36787257,5.8,P/DW
2006,10144010,7.2,WB
2007,319246193,7.0,P/DW
2007,11052958,6.4,WB
2007,31664162,7.4,WB
2008,67294270,6.8,Uni.
2005,21448782,3.7,AVCO
2012,182207973,7.3,BV
2007,118594548,6.3,P/DW
2008,8050977,5.9,LGF
2006,42285169,5.5,WB
2007,36605602,7.6,Par.
2008,535234033,9.0,WB
2007,7025810,6.1,LGF
2011,39046489,5.8,WB
2006,43545364,7.0,WB
2009,28544157,7.1,LGF
2009,16123323,5.6,Par.
2008,144169664,6.5,Uni.
2010,110485654,5.7,WB (NL)
2009,15743471,7.6,BV
2008,13367624,6.7,P/DW
2008,19219250,5.8,LGF
2012,77267296,6.0,Fox
2012,35291068,6.9,BV
2010,176591618,6.2,Sony
2009,24007324,5.7,WB
2010,60974475,6.3,Uni.
2010,98711404,6.3,Fox
2016,46843513,6.1,WB (NL)
2011,21392758,5.4,BV
2009,158348367,5.8,Par.
2012,183637894,6.3,Fox
2018,58250803,6.3,WB
2011,75624550,7.1,Fox
2012,103860290,5.7,WB (NL)
2012,65422625,5.8,Uni.
2011,10721033,5.4,Sum.
2012,66528000,6.4,Uni.
2012,57011521,6.7,Uni.
2011,42587643,5.9,WB (NL)
2012,54731865,6.7,WB
2011,52698535,6.6,Fox
2016,183637894,8.0,Fox
2012,25888412,5.2,LG/S
2012,4636169,5.6,Par.
2012,49008662,6.3,Fox
2014,191719337,7.0,Sony
2017,74262031,6.4,Fox
2013,19316646,5.6,Fox
2014,10171304,5.2,WB
2015,81476385,6.3,Uni.
2015,22467450,5.7,Fox
2014,126663600,6.4,Uni.
2017,84410380,6.7,Fox
2017,152901115,6.7,BV
