releaseYear,lifetime_gross,imdb_averageRating,studio
2016,11989328,6.1,SonR
2016,67268835,6.3,WB (NL)
1942,102247150,7.3,RKO
1953,32064800,7.0,WB
1953,659363944,7.0,Par.
1963,7705225,8.3,Par.
1960,40356000,7.1,Dis.
1972,134966411,9.2,Par.
1972,14973382,8.0,Fox
1973,232906145,8.1,WB
1976,8091910,7.6,Par.
1977,31063038,6.6,Fox
1977,71215869,6.9,Dis.
1979,8400000,5.0,AIP
1980,8415112,4.8,WB
1980,24265659,6.1,WB
1980,4000000,7.9,Fox
1981,18826490,5.3,WB
1983,64783827,6.6,Fox
1984,28078073,5.0,WB
1984,23859382,6.2,Fox
1984,48143579,6.3,WB
1985,10609321,7.6,WB
1985,87071205,7.1,Uni.
1985,19739575,6.8,Par.
1986,174803506,6.6,Par.
1986,85160248,8.4,Fox
1986,25147055,5.9,Fox
1986,26285544,6.0,WB
1987,22238696,7.7,WB
1987,29760613,6.1,Uni.
1987,65207127,7.6,WB
1987,30857814,8.0,Fox
1987,66995879,6.5,Uni.
1987,65673233,6.7,BV
1988,24720479,7.0,Uni.
1988,78756177,7.6,Par.
1988,19595031,6.4,Uni.
1989,46212055,6.6,Par.
1989,3563162,6.5,Par.
1989,2777280,6.2,Fox
1989,52210049,5.5,Par.
1989,86888546,6.8,Fox
1990,82670733,6.1,Par.
1990,46044396,5.9,Fox
1990,44143410,6.5,Fox
1991,9804775,5.7,Par.
1991,101599005,6.3,Fox
1992,13086430,7.1,Uni.
1992,16624456,5.7,Fox
1992,13272113,6.1,WB
1992,83351587,6.8,Par.
1992,9011574,6.0,WB
1994,428868,6.0,WB
1993,3418141,4.9,BV
1993,38922972,6.6,Fox
1993,12440858,5.6,BV
1994,9979683,5.8,Par.
1995,66638883,7.5,Sony
1994,101631272,7.0,WB
1994,11439193,6.9,BV
1994,16487349,5.5,BV
1995,33177694,6.5,Sony
1995,17519169,6.5,Par.
1995,69684532,5.5,Fox
1996,43182776,7.7,Sony
1995,20350171,5.8,Uni.
1995,9418365,5.6,Uni.
1996,63118386,6.8,Par.
1996,25785603,6.1,Fox
1996,18626419,5.9,Sony
1997,26570463,5.1,BV
1997,58406347,7.1,Fox
1997,99112101,7.3,BV
1997,41230799,6.9,Par.
1999,82280579,4.1,Par.
1998,44547681,7.3,WB
1998,30147739,6.6,Sony
1999,116741558,6.5,Par.
2000,10827816,7.0,Sony
2000,101648571,6.5,BV
2000,125595205,7.4,Uni.
2000,33772838,6.7,Fox
2000,48818921,7.2,Fox
2001,2552992,7.2,WB
2000,117559438,5.2,Fox
2000,1115313,6.6,Sony
2001,112952899,4.7,Fox
2001,23980304,4.7,BV
2002,24718164,5.2,Sony
2001,28734552,6.4,Sony
2002,17600423,5.9,Uni.
2003,26793311,6.4,Sony
2001,36706141,6.5,BV
2002,75600072,6.9,BV
2002,6630252,6.2,WB
2003,47901582,5.3,BV
2003,56359780,6.3,Sony
2002,33561137,5.4,Sony
2002,129128133,7.1,DW
2003,20453431,5.7,WB
2007,5758950,5.9,WB
2004,85417988,7.1,Par.
2003,138614544,5.9,Fox
2004,77872883,7.4,DW
2008,317101119,6.2,Par.
2008,120146040,5.7,WB (NL)
2006,234362462,6.6,Fox
2004,86058055,7.1,Par.
2005,2080321,6.8,Sony
2005,25473352,5.6,BV
2007,210614939,7.6,WB
2007,58867694,6.7,Sony
2006,88715192,5.6,Par.
2007,47536778,7.0,Uni.
2007,53695808,7.0,WB
2008,215434591,7.6,P/DW
2007,35017297,5.6,LGF
2009,63414846,7.1,WB (NL)
2008,26814957,6.7,Sony
2006,50866635,7.8,BV
2010,90759676,6.6,BV
2009,37017955,7.1,Uni.
2009,55389516,5.8,LGF
2007,90648202,6.4,BV
2008,69951824,7.6,Sony
2013,107518682,6.6,Fox
2010,80574010,5.8,Sony
2009,64167069,6.4,WB (NL)
2008,152647258,5.7,WB (NL)
2009,18451251,6.3,WB
2009,67172594,5.7,BV
2010,10547117,4.7,WB
2009,42100625,6.6,Uni.
2010,128012934,8.2,Par.
2009,97104620,7.0,Uni.
2016,72082998,7.2,Par.
2009,51855045,6.3,Uni.
2010,67631157,6.0,Sony
2011,30441326,5.6,Fox
2012,27108272,7.4,WB
2015,25020758,6.9,WB
2015,154058340,8.1,WB
2010,25702053,5.7,BV
2016,24252420,6.5,Uni.
2010,84752907,5.7,Par.
2011,79884879,7.2,BV
2011,37306030,6.5,WB
2014,177002924,7.8,Fox
2014,36457627,7.0,BV
2011,127004179,7.0,Par.
2015,3703046,6.3,Par.
2013,61737191,6.6,LG/S
2015,17766658,7.2,Uni.
2014,43577636,6.4,BV
2015,130178411,7.0,Fox
2016,77041381,6.2,BV
2016,158848340,7.0,Par.
2014,113746621,6.2,Fox
2015,34580201,5.1,WB (NL)
2016,330360194,6.5,WB
2017,315058289,7.9,BV
2017,389813101,7.6,BV
2017,25584504,5.6,WB (NL)
2017,100234838,6.7,Fox
2017,22105643,5.2,Sony
2017,138291365,7.3,Uni.
releaseYear,lifetime_gross,imdb_averageRating,studio
1941,16361885,7.7,WB
1950,63463,8.2,Fox
1955,10555348,7.4,Par.
1966,28000000,8.0,WB
1967,104945305,8.0,AVCO
1971,10600000,6.9,Uni.
1972,66000000,7.7,WB
1973,29800000,7.7,Par.
1973,87044645,6.9,Uni.
1976,70600000,7.9,WB
1979,48979328,8.1,Uni.
1979,80931801,8.5,Fox
1979,26079312,6.9,Par.
1980,14504277,5.2,WB
1981,7886857,5.9,Uni.
1981,25533818,6.5,Uni.
1982,27092880,7.1,Uni.
1982,9077269,6.6,WB
1982,21095638,6.5,WB
1983,45517055,3.7,Uni.
1983,61399552,7.3,WB
1983,29450919,6.4,WB
1986,79817937,5.9,Par.
1987,22847564,7.3,Fox
1987,25411386,6.6,BV
1989,57041866,7.0,BV
1988,115227281,7.3,Fox
1988,4764606,5.7,BV
1988,13825794,6.8,Uni.
1988,60328558,6.9,Par.
1989,7825009,6.8,WB
1989,43247647,6.0,Uni.
1990,71609321,5.5,BV
1990,15369573,5.3,BV
1990,10005969,6.1,Par.
1991,17860280,6.3,Fox
1991,4409328,6.2,BV
1992,8403433,5.3,Uni.
1992,11390479,6.3,Par.
1992,101157447,8.2,WB
1993,21274717,5.4,Par.
1993,58055768,6.7,WB
1993,31181347,7.3,WB
1993,9317021,6.0,Uni.
1994,23070663,6.3,Par.
1994,24332324,6.2,BV
1994,3430583,6.3,BV
1994,11373501,6.2,WB
1995,17736619,5.5,BV
1995,32051917,6.6,WB
1995,38896854,6.6,Fox
1995,35431113,5.7,Sony
1995,50727965,6.0,Sony
1995,10382407,5.3,BV
1996,11829959,5.7,Sony
1996,180981856,7.2,Par.
1996,34327391,6.9,BV
1996,92027888,7.6,Par.
1997,50068310,6.7,Sony
1997,72586134,5.8,Sony
1997,59927618,5.2,BV
1998,44619100,7.2,Uni.
1998,39001187,6.7,Uni.
1997,2312463,4.9,BV
1998,37562568,7.0,Uni.
1998,66308518,6.6,BV
1998,46683377,6.3,WB
2000,14417593,6.7,Uni.
1998,54682547,6.2,DW
1999,33864342,5.9,WB
1999,75530832,6.9,WB
2000,27287137,7.4,BV
1998,12214338,5.5,BV
1999,27100031,6.0,Uni.
2000,37047880,6.4,BV
1999,10667893,4.2,Sony
2002,6835856,6.6,BV
2002,4420080,3.9,WB
2001,51804714,7.3,Sony
2002,30336800,5.2,WB
2001,27343067,6.0,Fox
2002,54234062,7.7,BV
2005,19297522,5.0,Dim.
2003,66934963,4.5,WB
2002,31945749,6.1,WB
2001,43905746,5.9,SonR
2002,170742341,8.2,Uni.
2001,22771646,5.5,Fox
2003,33715436,5.5,WB
2002,13728902,5.9,Par.
2004,67303450,6.7,BV
2005,1900451,4.2,WB
2005,290201752,7.7,WB
2003,81261177,7.2,Par.
2004,39799191,6.2,BV
2007,134529403,7.1,Fox
2003,4928883,1.9,Fox
2005,31726995,6.1,Uni.
2005,49772522,5.2,WB
2004,73780539,5.4,SonR
2005,43095856,6.3,Fox
2005,113086868,5.6,BV
2005,158119460,6.4,Par.
2006,1024640,7.0,LGF
2011,85468508,7.1,BV
2008,72266306,6.6,Sony
2007,24602291,7.3,SonR
2006,6090172,6.9,Fox
2008,80172128,6.1,Fox
2009,760507625,7.9,Fox
2011,14011084,6.0,Fox
2008,70231041,5.7,WB
2013,291045518,7.1,WB
2007,13938332,6.7,Par.
2009,257730019,7.9,Par.
2014,111506430,6.8,Fox
2007,63300095,5.9,LGF
2009,38577772,6.3,BV
2012,136025503,7.7,WB
2018,22000000,6.3,Par.
2009,66477700,5.1,WB (NL)
2010,24077427,6.4,LGF
2010,32680633,5.5,BV
2012,28835528,6.2,Uni.
2015,21067116,5.4,Sony
2013,75612460,6.7,Uni.
2010,62950384,6.0,BV
2016,325100054,5.9,WB
2013,3310031,6.4,LGF
2017,58060186,5.5,Par.
2011,209837675,7.3,Uni.
2012,59650222,6.4,Par.
2012,17450535,5.6,Uni.
2014,202853933,6.6,Sony
2012,53900335,4.6,Par.
2015,66013057,5.6,WB
2015,75764672,7.1,WB
2016,31153464,5.4,LG/S
2016,46009673,6.0,Fox
2016,125070033,7.4,WB
2017,27634716,6.5,Par.
2015,32000304,6.2,Fox
2016,59689605,6.0,Uni.
2018,213767512,6.9,BV
2017,102092201,6.5,WB (NL)
1953,48462608,7.3,Uni.
1968,53412862,7.1,Par.
1979,73691419,7.1,Uni.
1980,10697276,4.9,WB
1980,54766923,7.7,Par.
1980,7063886,7.0,Fox
1981,30565292,7.5,Uni.
1984,234760478,7.4,Par.
1985,9929135,7.9,Uni.
1985,8692426,6.5,Fox
1986,49042224,5.8,WB
1988,109306210,5.7,Par.
1987,23509382,5.5,BV
1987,7305209,4.8,WB
1988,128152301,7.1,Par.
1989,4973285,6.8,Par.
1989,10763469,6.4,BV
1990,6488114,6.2,Par.
1990,10959015,6.0,Fox
1990,29381956,6.4,Fox
1990,178406268,7.1,BV
1990,119412921,7.5,Sony
1991,38016380,6.8,Par.
1991,16371128,7.2,WB
1992,57114049,5.7,Uni.
1992,22518097,5.8,BV
1992,45500797,6.0,BV
1992,21633781,6.4,Fox
1992,139605150,6.5,BV
1992,83563139,6.5,WB
1993,24103594,6.2,BV
1994,1519366,5.3,WB
1993,4496583,7.9,BV
1993,9532895,6.9,Uni.
1993,219195243,7.1,Fox
1993,12281551,7.9,WB
1994,10032765,7.7,Par.
1994,30577969,5.3,BV
1994,19726050,5.2,BV
1994,45610410,6.1,BV
1995,17689177,6.6,BV
1994,36763355,4.7,Uni.
1994,52125282,6.3,Uni.
1994,32063435,6.0,Uni.
1994,25052000,6.7,WB
1995,2568425,7.7,Uni.
1995,25405445,7.1,Sony
1995,273188,6.7,WB
1995,71518503,6.6,WB
1995,67436818,8.3,WB
1995,100475249,7.1,Sony
1996,82569971,7.3,BV
1995,24047675,5.5,Par.
1996,4357406,5.3,WB
1996,3325651,5.0,WB
1996,31387164,5.2,BV
1996,103046663,7.4,Dim.
1996,10292300,6.6,BV
1997,67127760,6.0,Uni.
1998,13806137,6.1,Sony
1997,32000301,5.6,BV
1997,44480039,6.7,BV
1997,35281794,6.8,WB
1999,10115013,6.4,Fox
1999,4956401,6.5,Sony
1999,116089678,7.2,Uni.
1999,2062405,6.9,Fox
1999,36663315,6.6,Sony
1999,66518655,6.7,Uni.
1998,38072438,5.6,Sony
1999,73648142,5.9,WB
1999,31502583,5.3,Sony
2000,1823297,6.3,Sony
2000,44737059,6.6,WB
2000,21468807,4.4,Sony
2008,30060660,7.2,LGF
2003,281576461,7.2,WB
2002,18306166,6.5,Par.
2007,115802596,5.3,Sony
2001,100618344,6.9,Par.
2001,36845124,6.6,Fox
2003,100830111,4.9,Sony
2004,5884190,5.3,Par.
2004,6489476,4.9,WB
2005,68671925,6.0,Par.
2003,22738671,5.5,Par.
2003,22076772,4.6,DW
2004,77911774,7.7,Fox
2004,19176754,7.0,Uni.
2004,88097164,6.0,Uni.
2004,120908074,6.8,Sony
2006,200081192,6.1,WB
2005,870067,7.2,WB
2004,32682342,6.2,WB
2005,15337393,7.4,BV
2010,200821936,7.7,BV
2006,37384046,5.2,BV
2006,48751189,5.8,WB
2005,89707299,6.3,BV
2006,33602376,7.1,P/DW
2007,15309602,6.9,Uni.
2006,70511035,8.2,WB
2006,6995302,7.6,WB
2005,251495,5.2,WB
2007,39687694,6.2,Fox
2008,81159365,6.8,Sony
2010,26167002,6.5,Fox
2011,181030624,7.0,Par.
2009,18622031,7.7,Uni.
2008,110515313,7.1,P/DW
2010,35053660,6.8,Uni.
2009,25450527,6.5,Sony
2010,63150991,6.1,BV
2009,49492060,5.3,BV
2009,37491364,7.3,WB
2011,80035402,5.8,Par.
2009,177243721,6.0,Fox
2009,146336178,5.3,Sony
2009,71440011,7.0,P/DW
2010,300531751,5.1,Sum.
2013,20563273,7.2,Par.
2010,292576195,8.8,WB
2012,119412921,6.2,Sony
2011,352390543,6.2,P/DW
2010,45710178,5.5,LGF
2012,63536011,6.3,Sony
2011,48475290,5.3,Uni.
2014,241410378,6.9,BV
2013,67349198,5.2,Fox
2012,189422889,7.7,BV
2013,112200072,5.8,WB
2012,65001093,7.1,Uni.
2014,167767189,8.1,Fox
2015,459005868,7.3,BV
2014,43139300,6.1,Uni.
2016,9639125,6.7,Uni.
releaseYear,lifetime_gross,imdb_averageRating,studio
1937,4335968,7.3,WB
1941,186336279,6.3,Fox
1948,183875760,6.3,WB
1958,458000,6.8,Fox
1960,48462608,7.4,Uni.
1970,106397186,6.9,Par.
1973,115000000,7.4,Uni.
1974,22000000,6.9,Par.
1974,27634716,7.2,Par.
1977,17732000,5.9,Fox
1978,16393000,5.7,BV
1979,82258456,6.4,Par.
1980,103290500,6.9,Fox
1981,31261269,6.0,Uni.
1981,14110013,6.6,Par.
1982,29712172,7.1,WB
1983,25697647,7.0,WB
1983,14049540,5.2,Uni.
1985,14643997,7.2,Par.
1985,11137801,6.7,BV
1986,1476356,6.6,Uni.
1986,29844101,5.9,Fox
1986,37499651,6.4,Uni.
1986,21458229,6.2,BV
1987,42721196,6.0,Fox
1987,28061343,5.0,WB
1987,76270454,7.8,Par.
1988,11444204,6.0,Uni.
1988,16031707,5.9,Par.
1989,130724172,6.4,BV
1989,13906394,5.5,BV
1989,40586886,6.2,BV
1990,56362352,7.9,Fox
1990,217631306,7.1,Par.
1990,122012643,7.5,Par.
1990,27441977,6.9,WB
1990,23591472,6.2,WB
1990,30669413,6.3,Fox
1991,6153939,7.6,Fox
1992,8442162,5.8,Par.
1992,14358033,6.0,WB
1992,14356479,6.3,Fox
1992,76253806,6.8,Fox
1993,158348367,6.9,Par.
1993,20915465,4.1,BV
1994,72217396,6.9,WB
1994,20280016,5.9,Uni.
1994,28881266,4.9,BV
1994,2694234,5.4,Fox
1994,44853581,5.9,Uni.
1996,101295562,6.2,WB
1996,56569216,6.5,WB
1996,26877589,6.2,Par.
1996,306169268,7.0,Fox
1996,12825141,3.8,BV
1996,25857416,7.0,Fox
1997,112276146,7.3,Par.
1997,31642995,5.8,Uni.
1997,48169156,6.0,BV
1997,229086679,6.5,Uni.
1998,29342592,3.6,Sony
1998,18319860,5.8,Uni.
1998,19889299,5.5,BV
2001,76631907,7.7,WB
1999,10570375,6.1,WB
2000,29381494,5.1,Par.
1999,8302478,5.5,DW
2000,37170488,6.1,Sony
2001,65206105,6.3,Uni.
2001,60400856,5.3,Sony
2000,17200925,6.7,Sony
2000,15325127,5.7,WB
2000,95011339,7.3,BV
2000,18715392,7.4,WB
2003,12427717,8.6,BV
2002,41543917,6.4,Fox
2004,14589444,6.7,Fox
2002,52364010,7.6,BV
2002,605562,6.1,Dim.
2002,51432760,5.4,Fox
2003,93927920,7.5,Fox
2004,36611066,4.5,Fox
2005,32647042,6.3,Fox
2003,20991364,5.8,WB
2003,38125247,5.5,DW
2004,31041759,6.9,BV
2004,16703799,5.2,Fox
2005,206459076,6.7,WB
2005,22400154,4.7,Sony
2004,65955630,6.6,Par.
2006,423315812,7.4,BV
2005,18337722,7.3,WB
2006,11304403,6.5,BV
2006,12571185,6.1,Uni.
2006,28444855,5.5,LGF
2005,74494381,6.8,Par.
2006,36895141,6.6,WB
2008,36316032,6.4,Uni.
2008,10011996,6.7,Sum.
2007,36793804,6.7,WB
2007,43107979,6.3,WB
2007,4571521,7.5,LGF
2009,17303424,6.1,WB (NL)
2012,18450127,5.8,P/DW
2008,48237389,5.5,Sony
2008,46012734,5.8,Sony
2008,60494212,6.0,Uni.
2008,87341380,6.9,Sony
2010,104386950,6.3,Fox
2010,59713955,7.2,BV
2009,163958031,6.7,BV
2012,79727149,6.2,WB
2014,46294610,6.5,WB
2009,33316821,6.5,WB
2012,113203870,6.6,Uni.
2014,50577412,6.2,Par.
2009,112735375,6.5,Uni.
2011,35014192,7.6,Sum.
2012,13414714,7.1,LGF
2017,327481748,7.3,WB (NL)
2011,63686397,6.8,WB
2013,42025135,6.4,Uni.
2016,363070709,8.0,Fox
2013,137400141,7.5,WB (NL)
2012,51854875,6.6,BV
2012,19202743,7.6,BV
2011,35608245,6.1,Uni.
2011,54544638,5.6,WB (NL)
2013,29807260,6.4,WB
2012,161321843,6.5,Fox
2017,75468583,6.9,LG/S
2013,206362140,6.8,BV
2014,33680992,6.0,Par.
2017,73921000,6.2,Fox
2016,54647948,5.6,Fox
2014,103804407,6.3,WB
2016,27007844,7.6,LGF
2018,32732301,6.8,Par.
2015,130179072,6.2,LG/S
2014,54240821,7.3,BV
2015,109767581,7.6,WB (NL)
2016,270395425,7.1,Uni.
2016,532177324,7.8,BV
1950,38399961,7.3,Par.
1959,155385488,6.7,Uni.
1968,32589624,8.0,Fox
1974,47542841,9.0,Par.
1978,14560084,7.2,Par.
1979,364642,7.0,Par.
1981,12729675,7.3,Par.
1982,21028755,6.8,WB
1982,19282134,7.0,WB
1982,129795554,7.0,Par.
1982,111289673,6.2,Fox
1984,6700035,8.2,Uni.
1984,29600000,7.5,BV
1984,19265302,3.8,Par.
1984,5321508,8.3,WB
1985,358574,5.3,WB
1985,68706993,7.4,Par.
1986,12947763,6.1,Par.
1986,25314189,6.1,Par.
1989,32632093,6.7,WB
1988,37903295,6.3,WB
1988,83519093,8.2,Fox
1988,20324096,5.9,Par.
1989,11567217,4.4,WB
1990,41482207,6.4,WB
1991,5864949,6.8,WB
1990,15260154,6.8,WB
1990,16667084,7.1,Uni.
1991,9188150,5.6,Par.
1991,25196249,6.3,WB
1991,14143280,5.7,BV
1991,21830957,6.3,Fox
1991,11000863,5.6,Fox
1992,17530973,5.9,Uni.
1992,58883840,6.6,Uni.
1992,187705427,6.5,DW
1992,14796494,5.5,Par.
1992,44065653,5.9,WB
1992,17092453,4.9,Par.
1993,17953778,6.2,Uni.
1993,9709451,6.2,Par.
1993,70172621,7.0,WB
1993,14904910,6.5,BV
1993,11081586,6.2,Uni.
1993,100768056,6.6,WB
1993,35739755,6.7,Fox
1993,14543394,6.3,Fox
1993,39100956,7.3,BV
1994,10475705,6.0,BV
1994,92115211,6.7,WB
1994,130531208,5.0,Uni.
1994,4330020,6.5,Fox
1995,30160161,5.4,BV
1995,5535405,8.1,Sony
1995,46576136,6.2,Par.
1995,7919823,5.6,Fox
1995,24147179,6.9,BV
1996,144880014,5.7,Dis.
1996,17323326,5.0,Par.
1996,1141556,5.4,BV
1997,100920329,7.5,WB
1998,4553271,7.1,WB
1997,63820180,7.6,Sony
1997,54930280,6.4,Uni.
1997,6112613,4.8,Uni.
1997,41263140,6.0,DW
1998,19204929,6.1,Sony
1997,13130349,7.2,WB
1998,90757863,6.5,DW
1998,201578182,6.7,BV
1998,27007143,6.0,Sony
1999,32698899,6.6,BV
1998,17460020,6.6,Uni.
1998,29967750,6.0,Sony
1998,34102780,6.1,Uni.
1999,8891623,6.7,BV
2000,4739023,6.1,BV
1999,14276317,6.4,Sony
1998,32000000,4.6,Par.
2000,34134641,7.0,WB
1999,17845337,5.8,Fox
2000,19393557,7.2,Par.
2001,45172250,6.5,Par.
2000,182811707,6.4,Par.
2000,106807667,6.3,WB
2000,15618626,5.3,Sony
2001,24174218,5.7,WB
2001,25288103,6.7,WB
2002,64956806,5.5,Sony
2002,56832494,6.0,DW
2002,23586598,5.3,Sony
2004,57761012,6.6,Uni.
2004,249759843,7.9,WB
2003,132716677,5.6,BV
2002,14973382,6.2,Fox
2002,25473352,6.7,BV
2003,1571504,6.8,BV
2003,58331254,7.4,BV
2004,186740799,6.5,Fox
2004,51882244,6.3,BV
2004,37486512,6.0,BV
2004,29331068,4.7,BV
2006,28444855,6.1,LGF
2005,206852432,8.2,WB
2005,80270227,5.1,WB
2005,18801234,5.9,Sony
2010,44114232,6.6,P/DW
2005,12482775,6.6,Par.
2005,86432000,5.9,AIP
2005,46464023,5.9,Sony
2006,7459300,6.9,Fox
2009,21002919,7.9,Fox
2010,31524275,7.5,Uni.
2006,23649127,3.8,WB
2007,16809076,6.1,Uni.
2007,183135014,7.3,Fox
2007,49033882,7.2,WB
2013,187168425,7.2,Fox
2007,168273550,5.8,BV
2009,104400899,7.1,BV
2008,14589444,6.5,Fox
2008,80048433,7.0,Par.
2009,109204945,5.5,Uni.
2008,31715062,6.1,LGF
2008,8402485,6.5,Sum.
2010,32746941,6.5,WB
2012,237283207,7.1,BV
2010,48071303,7.6,LGF
2009,296623634,4.8,Sum.
2009,25533818,4.8,Uni.
2012,38518613,5.9,WB (NL)
2014,50474843,6.7,WB (NL)
2011,64006466,5.8,WB
2011,70662220,6.2,Par.
2010,1044143,7.0,LGF
2011,186848418,7.4,WB
2015,58884188,6.1,WB (NL)
2011,75658097,6.8,WB
2016,103144286,5.2,Fox
2013,117723989,7.2,LG/S
2016,54767494,5.9,Par.
2013,95720716,7.4,Sony
1968,14973382,6.6,Fox
2014,17654912,7.7,Par.
2013,238679850,7.0,Uni.
2013,71017784,5.3,Sony
2013,159582188,6.6,Fox
2018,60311495,6.2,Uni.
2015,8005980,5.5,Uni.
2016,341268248,8.0,BV
2016,34343574,6.2,Sony
2018,608581744,7.6,BV
2016,54030051,5.9,WB (NL)
2015,12429583,5.7,BV
2018,417719760,6.1,Uni.
2018,220159104,7.7,Par.
releaseYear,lifetime_gross,imdb_averageRating,studio
1964,72560711,7.8,WB
1974,29200000,8.2,Par.
1976,46236000,6.7,WB
1977,41687243,6.6,WB
1977,14717854,5.7,Par.
1978,47000000,7.7,CIP
1979,37823676,7.8,Fox
1981,5732587,7.4,Par.
1981,20259961,5.5,Uni.
1982,15171476,4.5,Par.
1983,55432841,6.1,WB
1985,18432000,6.9,WB
1986,3900000,6.1,Fox
1987,35659098,6.6,Par.
1989,54461047,7.5,Fox
1989,118450002,7.8,Uni.
1989,49797148,7.2,Par.
1989,12143484,5.3,WB
1989,14278900,6.1,Uni.
1990,25029569,5.4,BV
1991,24204154,6.4,Uni.
1993,10058318,5.0,WB
1993,57319029,5.7,BV
1993,50081992,6.2,WB
1994,5887457,7.8,BV
1994,330455270,8.8,Par.
1994,13137484,6.3,Uni.
1994,26381221,6.2,Par.
1994,30626182,5.6,WB
1995,17381942,7.3,WB
1995,19751736,4.6,Par.
1996,60240295,6.1,Sony
1996,14551359,6.0,Uni.
1996,25143818,6.9,Sony
1996,18937262,3.1,BV
1996,34861807,6.3,Fox
2001,4274407,2.4,Fox
1997,23712993,5.8,Par.
1997,30882515,4.6,Fox
1998,75383563,6.7,BV
1997,10541523,6.3,WB
1997,148478011,7.7,Sony
1997,7936780,6.1,BV
1997,659363944,7.9,Par.
1998,37672941,5.7,Fox
1999,8408835,6.0,Fox
1998,22510798,6.2,WB
1998,130444603,6.6,WB
1999,63886029,6.8,Uni.
1998,21567853,6.9,BV
1999,66384775,6.5,Uni.
1998,7027290,6.5,Uni.
1999,171479930,8.7,WB
1999,6852450,5.9,Par.
1999,3117085,5.7,Sony
2000,7027345,5.6,Uni.
2001,181171875,5.9,Uni.
1999,140035367,6.0,Sony
2003,150371112,6.3,WB
2000,66957026,4.8,BV
2000,68540777,6.5,DW
2000,34604280,5.9,Sony
2002,764554,7.0,WB
2001,20384136,4.9,WB
2001,45246095,5.6,Par.
2002,14036406,5.1,SonR
2001,50338485,7.4,Uni.
2002,41281092,7.3,WB
2002,40388794,3.3,SonR
2003,19481943,5.6,Par.
2003,52159536,7.3,Sony
2003,67406573,7.0,BV
2004,25198598,5.3,Par.
2003,43610723,6.7,BV
2003,21386011,5.0,BV
2006,59952835,6.7,Uni.
2003,59694580,5.8,WB
2005,11273517,7.1,Sony
2005,218080025,7.2,Uni.
2004,59020957,7.3,Uni.
2005,82674398,4.8,SonR
2004,101005703,7.5,DW
2004,33987757,7.2,Sony
2006,46982632,6.5,Sony
2007,126631277,6.1,P/DW
2008,114053579,6.8,BV
2007,33231264,7.0,Uni.
2006,55011732,6.9,BV
2008,127509326,7.8,Par.
2007,49662533,4.3,SonR
2009,125322469,6.5,WB
2011,149260504,6.6,P/DW
2006,65328121,6.5,BV
2007,11003643,6.3,WB
2006,27838408,6.9,LGF
2010,23591432,6.2,WB
2006,80238724,6.2,LGF
2009,124870275,6.9,Sony
2009,209028679,7.6,WB
2010,17010170,5.8,WB
2009,402111870,6.0,P/DW
2008,38233676,2.8,Fox
2009,41596251,7.0,WB
2011,191452396,6.2,BV
2010,55675313,6.9,WB
2012,42073277,7.0,LGF
2011,95461682,5.7,WB
2011,28087155,5.1,LGF
2016,27569558,6.7,BV
2016,86260045,7.3,WB
2016,14904426,5.9,Fox
2017,218967620,7.1,BV
2017,264624300,6.2,Uni.
2018,216648740,7.0,BV
2018,40826341,7.5,Fox
2018,324591735,7.6,Fox
